id,time,c
1,1,9
1,2,461
1,3,10
1,4,121
1,5,70
1,6,230
1,7,318
1,8,36
1,9,624
1,10,13
1,11,1679
1,12,273
1,13,936
1,14,372
1,15,119
1,16,58
1,17,39
1,18,152
1,19,227
1,20,403
1,21,82
1,22,40
1,23,201
1,24,2736
1,25,155
1,26,681
1,27,143
1,28,59
1,29,763
1,30,70
1,31,25
1,32,749
1,33,100
1,34,188
1,35,27
1,36,37
70,1,1906
70,2,142
70,3,21
70,4,6
70,5,24
70,6,3
70,7,63
70,8,144
70,9,6
70,10,12
70,11,6
70,12,6
70,13,43
70,14,168
70,15,38
72,1,28
72,2,12
72,3,16
72,4,3
72,5,569
72,6,106
72,7,40
72,8,794
72,9,207
72,10,68
72,11,37
72,12,43
72,13,19348
72,14,145
72,15,77
72,16,18
72,17,297
72,18,80
72,19,28
72,20,54
72,21,33
72,22,58
72,23,16
72,24,4
72,25,43
72,26,22
72,27,1271
72,28,84
72,29,65
72,30,13
72,31,51
72,32,259
72,33,179
72,34,103
72,35,26
85,1,199
85,2,2506
85,3,514
97,1,26
113,1,152
113,2,10
113,3,49
113,4,7
113,5,33
113,6,19
146,1,715
146,2,1100
146,3,693
146,4,640
146,5,138
146,6,1018
146,7,1370
146,8,442
146,9,1057
146,10,812
146,11,750
146,12,632
146,13,1194
146,14,172
146,15,94
146,16,765
146,17,722
146,18,755
146,19,722
146,20,870
146,21,435
146,22,710
146,23,708
146,24,971
146,25,401
146,26,495
146,27,1084
146,28,388
146,29,419
146,30,534
146,31,308
146,32,522
146,33,295
146,34,234
146,35,858
146,36,89
146,37,616
146,38,358
146,39,319
146,40,138
146,41,289
146,42,1113
146,43,282
146,44,171
146,45,558
146,46,267
146,47,271
146,48,225
146,49,780
146,50,122
146,51,1143
146,52,435
146,53,573
146,54,69
146,55,485
146,56,319
146,57,484
146,58,232
146,59,506
146,60,273
146,61,355
146,62,982
146,63,683
146,64,192
146,65,192
146,66,372
146,67,229
146,68,57
146,69,613
146,70,795
146,71,1021
146,72,735
146,73,802
146,74,341
146,75,247
146,76,475
146,77,108
146,78,19
146,79,381
146,80,1009
146,81,125
146,82,415
146,83,157
146,84,182
146,85,637
146,86,124
146,87,406
146,88,446
146,89,262
146,90,571
146,91,499
146,92,586
146,93,195
146,94,902
146,95,267
146,96,265
146,97,363
146,98,320
146,99,213
146,100,193
146,101,96
146,102,87
146,103,360
146,104,452
146,105,217
146,106,213
146,107,574
146,108,341
146,109,237
146,110,289
146,111,307
146,112,88
146,113,24
146,114,421
171,1,13
171,2,382
171,3,217
171,4,132
171,5,1435
171,6,399
171,7,9
171,8,66
171,9,54
171,10,93
171,11,15
171,12,130
171,13,435
171,14,283
171,15,28
171,16,6
171,17,12
171,18,9
171,19,12
178,1,690
178,2,21
178,3,6
178,4,33
178,5,18
178,6,18
178,7,19
178,8,545
178,9,30
178,10,40
178,11,9
178,12,6
178,13,283
178,14,6
178,15,30
178,16,9
178,17,34
178,18,18
178,19,18
178,20,3
178,21,12
178,22,25
178,23,6
178,24,6
178,25,148
178,26,57
178,27,9
178,28,39
178,29,27
178,30,99
178,31,9
178,32,18
178,33,78
178,34,9
178,35,524
178,36,10
178,37,27
178,38,12
178,39,24
178,40,9
178,41,24
178,42,6
178,43,123
178,44,6
178,45,37
178,46,9
178,47,37
178,48,9
184,1,10
184,2,346
184,3,38
184,4,49
184,5,7
184,6,7
184,7,25
184,8,4
184,9,18
184,10,61
184,11,133
184,12,251
184,13,35
184,14,109
184,15,13
184,16,70
184,17,87
184,18,44
184,19,182
184,20,14
184,21,21
184,22,47
184,23,24
184,24,25
184,25,7
184,26,41
184,27,80
184,28,298
184,29,28
184,30,183
184,31,15
184,32,3
184,33,17
184,34,22
184,35,4
184,36,29
184,37,49
184,38,10
184,39,19
184,40,246
184,41,10
184,42,50
184,43,38
184,44,257
184,45,19
184,46,49
184,47,115
184,48,96
184,49,71
184,50,59
184,51,39
184,52,30
184,53,176
184,54,172
184,55,20
184,56,92
184,57,230
184,58,19
184,59,80
184,60,314
184,61,178
184,62,98
184,63,359
184,64,417
184,65,554
184,66,130
184,67,18
191,1,96
191,2,220
191,3,93
191,4,3
191,5,9
191,6,42
194,1,1192
194,2,420
194,3,684
194,4,318
194,5,473
194,6,124
194,7,639
194,8,163
194,9,522
194,10,265
194,11,457
194,12,156
194,13,1643
194,14,551
194,15,1014
194,16,19
194,17,695
194,18,793
194,19,745
194,20,370
194,21,1473
194,22,456
194,23,1744
194,24,371
194,25,1278
194,26,607
194,27,923
194,28,149
194,29,1817
194,30,1261
194,31,480
194,32,575
194,33,1128
194,34,129
194,35,1176
194,36,472
194,37,18065
194,38,343
194,39,1225
194,40,204
194,41,2324
194,42,1238
194,43,370
194,44,292
194,45,1096
194,46,950
194,47,1426
194,48,153
194,49,705
194,50,321
194,51,363
194,52,326
194,53,303
194,54,482
194,55,607
194,56,606
194,57,478
194,58,19
194,59,532
194,60,290
194,61,4705
194,62,75
194,63,339
194,64,293
194,65,672
194,66,855
194,67,557
194,68,465
194,69,1839
194,70,361
194,71,871
194,72,118
194,73,470
194,74,101
194,75,489
194,76,1850
194,77,387
194,78,600
194,79,781
194,80,100
194,81,382
194,82,910
194,83,473
194,84,784
194,85,1162
194,86,1058
194,87,1257
194,88,709
194,89,463
194,90,723
194,91,1420
194,92,1052
194,93,599
194,94,581
194,95,210
194,96,267
194,97,2291
194,98,250
194,99,88
194,100,255
194,101,724
194,102,613
194,103,549
194,104,1776
201,1,98
201,2,1181
201,3,998
201,4,936
201,5,314
201,6,1080
201,7,1584
201,8,574
201,9,2102
201,10,809
201,11,449
201,12,1716
201,13,249
201,14,790
201,15,592
201,16,1406
201,17,1141
201,18,376
201,19,572
201,20,1477
201,21,296
201,22,618
201,23,37
201,24,856
201,25,896
201,26,763
201,27,346
201,28,66
201,29,1507
201,30,409
201,31,566
201,32,115
201,33,9
201,34,60
201,35,986
201,36,291
201,37,939
201,38,898
201,39,912
201,40,1549
201,41,691
201,42,893
201,43,3233
201,44,1384
201,45,3458
201,46,915
201,47,1326
201,48,653
201,49,3609
201,50,4250
201,51,1785
201,52,1497
201,53,1658
201,54,2793
201,55,1277
201,56,1152
201,57,1784
201,58,3011
201,59,1370
201,60,1709
201,61,610
201,62,1677
201,63,2031
201,64,2297
201,65,5579
201,66,2862
201,67,2338
201,68,2192
201,69,286
201,70,2524
201,71,619
201,72,4088
201,73,2662
201,74,993
201,75,2463
201,76,1584
201,77,2360
201,78,641
201,79,774
201,80,36
201,81,1007
201,82,1319
201,83,1176
201,84,985
201,85,1921
201,86,2159
201,87,1740
201,88,1071
201,89,1418
201,90,942
201,91,1272
201,92,910
201,93,3282
201,94,469
201,95,2005
201,96,757
201,97,906
201,98,1612
201,99,1113
201,100,1678
201,101,1981
201,102,1323
201,103,2610
201,104,1828
201,105,2033
201,106,1057
201,107,2285
201,108,1877
201,109,1043
201,110,2139
201,111,709
201,112,626
201,113,486
201,114,1169
201,115,1311
201,116,2618
201,117,1163
201,118,1941
201,119,2052
201,120,2385
201,121,1086
201,122,2935
209,1,20
209,2,24
209,3,60
209,4,63
209,5,1165
209,6,17
209,7,354
209,8,279
209,9,21
209,10,367
214,1,269
214,2,127
214,3,9
214,4,366
214,5,1156
214,6,219
