	n.teams	n.games	n.goals	gpg
1	6	60	1138	6.32
2	6	60	1054	5.86
3	6	60	978	5.43
4	6	70	1148	5.47
5	6	70	1139	5.42
6	6	70	1090	5.19
7	6	70	1006	4.79
8	6	70	1009	4.8
9	6	70	1059	5.04
10	6	70	1064	5.07
11	6	70	1130	5.38
12	6	70	1175	5.6
13	6	70	1217	5.8
14	6	70	1238	5.9
15	6	70	1261	6
16	6	70	1264	6.02
17	6	70	1249	5.95
18	6	70	1166	5.55
19	6	70	1208	5.75
20	6	70	1277	6.08
21	6	70	1252	5.96
22	12	74	2476	5.58
23	12	76	2718	5.96
24	12	76	2649	5.81
25	14	78	3409	6.24
26	14	78	3348	6.13
27	16	78	4088	6.55
28	15	78	3783	6.47
29	18	80	4932	6.85
30	18	80	4913	6.82
31	18	80	4783	6.64
32	18	80	4747	6.59
33	17	80	4757	7
34	21	80	5902	7.03
35	21	80	6447	7.68
36	21	80	6741	8.03
37	21	80	6493	7.73
38	21	80	6627	7.89
39	21	80	6530	7.77
40	21	80	6667	7.94
41	21	80	6165	7.34
42	21	80	6237	7.43
43	21	80	6286	7.48
44	21	80	6189	7.37
45	21	80	5805	6.91
46	22	80	6123	6.96
47	24	84	7299	7.24
48	26	84	6982	6.39
49	26	48	3727	5.97
50	26	82	6701	6.29
51	26	82	6213	5.83
52	26	82	5602	5.26
53	27	82	5830	5.27
