	age	weight	height	gender
1	58	38	38	M
2	103	87	43	M
3	87	50	48	M
4	138	98	61	M
5	82	47	47	F
6	52	30	24	F
7	28	24	29	M
8	79	45	48	F
9	107	144	59	M
10	45	24	24	M
11	58	40	40	F
12	6	15	27	M
13	7	20	26	F
14	3	10	29	F
15	8	19	29	F
16	11	29	28	F
17	128	80	59	M
18	11	20	28	F
19	14	28	30	F
20	11	24	24	M
21	52	35	36	M
22	52	30	36	M
23	64	52	47	F
24	107	72	48	F
25	44	28	33	M
26	4	14	23	M
27	6	18	28	F
28	5	11	25	M
29	35	31	35	M
30	35	28	34	M
31	46	31	32	F
32	6	14	25	F
33	34	38	40	F
34	5	15	23	M
35	12	27	33	F
36	62	60	36	F
37	70	40	36	M
38	60	40	40	F
39	22	21	31	M
40	65	47	39	F
41	51	46	41	F
42	18	30	33	F
43	139	69	58	M
44	124	76	53	F
45	7	16	31	F
46	5	11	23	F
47	28	38	33	F
48	25	25	34	M
49	43	29	36	M
50	8	21	21	F
51	84	36	48	F
52	48	28	38	M
53	63	41	36	F
54	4	13	12	M
55	10	21	27	F
56	26	33	24	M
57	59	40	24	F
58	23	32	36	F
59	33	27	36	M
60	16	20	26	M
61	39	30	38	M
62	56	45	40	M
63	23	34	24	M
64	8	19	28	M
65	63	41	36	F
66	41	40	30	F
67	8	19	27	F
68	7	14	24	M
69	48	43	41	M
70	104	90	33	F
71	49	45	45	F
72	15	29	30	F
73	130	105	58	M
74	111	94	48	M
75	7	22	26	F
76	73	69	36	F
77	5	17	25	M
78	37	27	32	F
79	3	12	23	F
80	61	40	40	F
81	30	25	24	F
82	4	13	25	M
83	8	20	27	F
84	4	16	28	M
85	48	45	37	M
86	18	27	26	F
87	9	20	25	F
88	78	54	46	M
89	72	60	38	M
90	33	30	31	M
91	5	18	30	F
92	77	55	52	F
93	5	14	23	F
94	44	34	24	F
95	64	45	53	F
96	73	48	48	M
97	36	30	36	M
98	22	25	32	F
99	55	38	36	M
100	3	13	24	F
101	11	22	29	F
102	8	19	28	F
103	124	74	54	M
104	50	30	36	M
105	117	89	50	F
106	69	35	42	F
107	39	33	34	M
108	141	78	55	M
109	42	43	30	F
110	71	40	34	M
111	55	32	39	M
112	39	31	37	M
113	7	15	24	M
114	7	19	22	M
115	111	55	58	F
116	36	40	35	M
117	33	37	38	M
118	23	34	30	F
119	96	45	45	M
120	79	44	48	F
121	71	50	46	F
122	65	50	47	M
123	14	28	32	F
124	45	32	35	F
125	20	22	24	M
126	65	52	49	F
127	46	40	48	F
128	60	42	40	F
129	13	22	28	F
130	14	23	32	M
131	8	16	28	F
132	4	17	22	F
133	48	30	40	F
134	68	40	38	M
135	29	32	32	M
136	7	26	29	F
137	19	30	33	M
138	108	61	53	F
139	131	65	54	F
140	75	52	48	M
141	20	23	37	M
142	21	29	31	F
143	7	18	28	M
144	41	32	38	M
145	113	50	54	F
146	3	13	24	F
147	73	36	43	M
148	77	47	50	M
149	130	80	61	M
150	10	23	30	M
151	142	64	61	M
152	69	45	47	M
153	21	25	40	F
154	91	65	48	F
155	27	26	33	M
156	38	38	38	M
157	15	20	30	F
158	133	150	59	M
159	61	42	42	M
160	66	53	48	F
161	78	35	36	F
162	5	16	26	F
163	139	150	67	M
164	42	25	29	M
165	40	30	24	F
166	98	52	41	F
167	36	27	38	F
168	34	27	36	M
169	19	22	34	F
170	26	30	31	M
171	60	35	36	M
172	78	42	51	M
173	3	12	23	F
174	74	47	50	F
175	7	14	26	M
176	39	32	39	M
177	31	25	30	F
178	126	93	58	F
179	31	30	35	F
180	142	59	50	M
181	144	100	60	F
182	47	34	42	F
183	83	52	47	F
184	61	43	43	F
185	56	32	36	F
186	6	13	24	M
187	15	18	24	M
188	36	38	38	F
189	3	17	27	F
190	67	46	48	F
191	27	29	34	F
192	101	50	50	M
193	3	14	25	M
194	3	13	24	M
195	31	26	26	M
196	5	11	23	F
197	44	32	39	M
198	101	70	45	F
199	5	16	26	F
200	87	50	42	M
201	18	26	33	F
202	17	23	31	F
203	46	37	41	F
204	115	60	54	F
205	94	45	51	F
206	22	26	34	F
207	126	131	59	M
208	16	22	23	F
209	4	12	23	F
210	143	70	56	M
211	130	86	58	F
212	31	35	36	M
213	3	14	24	F
214	139	85	58	M
215	105	58	52	F
216	25	28	34	F
217	12	17	22	M
218	47	34	36	M
219	5	19	24	F
220	5	13	22	F
221	11	18	29	F
222	22	23	31	M
223	10	17	23	M
224	46	30	36	F
225	53	41	43	M
226	49	30	33	F
227	3	13	22	M
228	125	125	49	F
229	51	32	39	M
230	8	18	28	M
231	14	35	36	M
232	39	32	39	M
233	129	108	61	M
234	60	40	39	F
235	53	42	30	M
236	40	28	36	F
237	25	26	36	M
238	26	26	26	M
239	26	23	29	M
240	74	42	45	F
241	12	28	32	M
242	69	55	43	M
243	126	65	36	F
244	113	80	56	F
245	64	49	40	M
246	10	18	27	F
247	5	14	25	M
248	23	26	33	M
249	122	85	40	M
250	5	14	27	M
