	age	gender	control	time
1	16-24	F	T	1.360075161
2	16-24	M	T	1.467939265
3	16-24	M	T	1.512035771
4	16-24	F	T	1.390646985
5	16-24	M	T	1.384207966
6	16-24	M	C	1.393875147
7	16-24	M	T	1.419042902
8	16-24	F	T	1.461186912
9	16-24	F	T	1.382460931
10	16-24	M	C	1.260151816
11	16-24	M	T	1.292916515
12	16-24	F	T	1.331092033
13	16-24	M	T	1.369170685
14	16-24	F	C	1.330470509
15	16-24	F	T	1.344505932
16	16-24	M	C	1.357869108
17	16-24	F	T	1.520244475
18	16-24	M	T	1.352397201
19	16-24	F	T	1.348420422
20	16-24	F	T	1.373000339
21	25+	M	C	1.306812503
22	25+	F	C	1.384191967
23	25+	M	T	1.34564309
24	25+	M	C	1.594901255
25	25+	M	T	1.341971961
26	25+	F	T	1.472211589
27	25+	F	T	1.440684945
28	25+	M	T	1.502757423
29	25+	F	T	1.50154112
30	25+	F	T	1.562813097
31	25+	F	C	1.475851092
32	25+	F	T	1.475455529
33	25+	M	C	1.312375524
34	25+	F	T	1.447160106
35	25+	M	T	1.463117938
36	25+	M	C	1.293425248
37	25+	F	C	1.402859765
38	25+	M	C	1.24549748
39	25+	F	T	1.475806411
40	25+	M	T	1.520105528
41	25+	F	T	1.437079319
42	25+	F	C	1.583610403
43	25+	F	T	1.499246461
44	25+	M	C	1.436701328
45	25+	F	T	1.524055554
46	25+	F	T	1.510928843
47	25+	F	C	1.522563056
48	25+	M	C	1.462412286
49	25+	F	C	1.31393513
50	25+	F	T	1.440382406
51	25+	M	T	1.444503471
52	25+	F	C	1.316955572
53	25+	M	T	1.517435173
54	25+	M	T	1.536445678
55	25+	M	T	1.444864645
56	25+	M	C	1.442599201
57	25+	M	C	1.355206286
58	25+	F	T	1.614979486
59	25+	M	T	1.527698524
60	25+	M	T	1.466590604
