	Chinook	Sockeye	Coho	Pink	Chum
1	675	33296	3115	63304	9603
2	823	36348	3416	60090	12613
3	877	28954	6049	64849	11090
4	828	52874	3653	60343	10222
5	667	38428	5374	76277	13105
6	721	38960	5730	90351	10566
7	616	32207	6293	77304	12510
8	680	35431	3493	46493	10527
9	589	30038	4473	50357	15102
10	572	44139	4650	96869	7895
11	666	52771	5478	88252	8008
12	613	44620	6145	124124	9752
13	607	58713	7089	60510	9764
14	650	64660	6040	109710	12180
15	670	52790	9560	116720	16150
16	646	63510	6375	128100	18900
17	500	50270	6150	97310	21856
18	650	30910	2900	71280	15620
19	560	22650	4590	104790	18920
