	wt	gender	grade	live.with.father	amt.smoke	alcohol	amt.alcohol	marijuana	amt.marijuana
4659	6482.7838	2	2	2	98	1	6	1	7
5232	958.0035	2	3	1	98	2	98	2	1
2793	4650.34	1	3	1	98	2	98	2	1
2602	3447.0998	1	2	1	7	1	6	1	8
3432	5200.5747	2	1	1	98	2	98	2	1
7078	3956.8443	2	3	2	1	1	7	2	1
9089	1905.1062	2	3	1	98	2	98	2	1
6789	6223.7833	2	2	1	4	2	98	2	1
6484	658.8472	1	9	2	7	1	5	1	8
4511	6571.4275	1	1	1	7	2	98	2	1
8154	7812.0633	2	2	2	5	1	5	2	1
9401	4421.8246	1	1	1	98	2	98	2	1
7062	4738.8866	1	3	1	2	1	7	1	7
2757	5312.5591	2	2	2	98	2	98	2	1
6045	3110.346	2	1	1	98	2	98	2	1
3488	3280.8638	1	2	2	7	1	7	2	1
6056	3110.346	2	1	1	98	2	98	2	1
2178	5114.1929	1	1	1	99	9	99	2	1
3979	10356.5925	2	3	2	3	1	6	1	8
9470	743.3739	2	3	2	3	1	3	1	3
2864	441.1419	2	1	1	98	2	98	2	1
2681	12332.6145	1	1	2	98	2	98	2	1
4494	5866.7607	1	3	2	6	1	6	1	7
4583	8757.5344	2	1	1	98	2	98	2	1
8152	7812.0633	2	2	2	98	2	98	2	1
8134	3897.4035	2	3	2	98	2	98	2	1
2157	3059.3064	1	1	2	7	1	7	2	1
4610	8015.2723	1	3	1	7	1	7	1	8
6929	1078.2394	1	2	1	98	1	6	2	1
2675	3202.8284	2	1	1	98	2	98	2	1
2760	5312.5591	1	2	1	98	2	98	2	1
7063	8323.3558	1	3	1	7	1	6	2	1
6208	554.2575	2	2	1	6	1	6	2	1
9400	4421.8246	1	1	1	98	2	98	2	1
4033	10066.1923	2	3	1	98	2	98	2	1
5797	3390.5378	2	1	2	98	2	98	2	1
2781	3016.9951	1	2	1	6	1	7	2	1
6801	8105.6358	2	3	1	98	1	6	2	1
4607	8015.2723	1	3	1	98	2	98	2	1
6237	1733.7645	2	1	1	98	2	98	2	1
4543	4220.9932	1	2	1	6	1	6	1	7
9375	2314.5281	2	2	2	98	1	7	2	1
349	1667.3085	2	3	1	7	1	6	2	1
4048	5390.5509	2	1	1	98	2	98	2	1
2682	12332.6145	2	1	2	98	2	98	2	1
1918	401.9582	1	2	2	5	1	5	1	8
2632	3432.6767	1	3	1	98	2	98	2	1
5505	807.7021	1	1	2	98	2	98	2	1
6026	1073.6385	2	3	1	7	1	6	2	1
