Y	X1	X2	X3	X4	X5	X6
10	70.30	213	582	6.0	7.05	36
13	61.00	91	132	8.2	48.52	100
12	56.70	453	716	8.7	20.66	67
17	51.90	454	515	9.0	12.95	86
56	49.10	412	158	9.0	43.37	127
36	54.00	80	80	9.0	40.25	114
29	57.30	434	757	9.3	38.89	111
14	68.40	136	529	8.8	54.47	116
10	75.50	207	335	9.0	59.80	128
24	61.50	368	497	9.1	48.34	115
110	50.60	3344	3369	10.4	34.44	122
28	52.30	361	746	9.7	38.74	121
17	49.00	104	201	11.2	30.85	103
8	56.60	125	277	12.7	30.58	82
30	55.60	291	593	8.3	43.11	123
9	68.30	204	361	8.4	56.77	113
47	55.00	625	905	9.6	41.31	111
35	49.90	1064	1513	10.1	30.96	129
29	43.50	699	744	10.6	25.94	137
14	54.50	381	507	10.0	37.00	99
56	55.90	775	622	9.5	35.89	105
14	51.50	181	347	10.9	30.18	98
11	56.80	46	244	8.9	7.77	58
46	47.60	44	116	8.8	33.36	135
11	47.10	391	463	12.4	36.11	166
23	54.00	462	453	7.1	39.04	132
65	49.70	1007	751	10.9	34.99	155
26	51.50	266	540	8.6	37.01	134
69	54.60	1692	1950	9.6	39.93	115
61	50.40	347	520	9.4	36.22	147
94	50.00	343	179	10.6	42.75	125
10	61.60	337	624	9.2	49.10	105
18	59.40	275	448	7.9	46.00	119
9	66.20	641	844	10.9	35.94	78
10	68.90	721	1233	10.8	48.19	103
28	51.00	137	176	8.7	15.17	89
31	59.30	96	308	10.6	44.68	116
26	57.80	197	299	7.6	42.59	115
29	51.10	379	531	9.4	38.79	164
31	55.20	35	71	6.5	40.75	148
16	45.70	569	717	11.8	29.07	123
