날짜	삼성전자	LG전자
1/3/2005	"451,000"	"64,900"
1/4/2005	"447,000"	"64,200"
1/5/2005	"443,000"	"66,200"
1/6/2005	"435,000"	"67,000"
1/7/2005	"440,500"	"65,400"
1/10/2005	"438,000"	"65,100"
1/11/2005	"442,000"	"67,000"
1/12/2005	"442,000"	"68,800"
1/13/2005	"444,000"	"67,000"
1/14/2005	"471,500"	"69,800"
1/17/2005	"492,500"	"75,200"
1/18/2005	"486,000"	"74,000"
1/19/2005	"480,000"	"72,800"
1/20/2005	"480,000"	"72,000"
1/21/2005	"486,000"	"71,500"
1/24/2005	"488,000"	"73,200"
1/25/2005	"483,500"	"70,600"
1/26/2005	"490,500"	"70,300"
1/27/2005	"492,000"	"71,200"
1/28/2005	"489,000"	"69,700"
1/31/2005	"495,000"	"70,600"
2/1/2005	"491,500"	"69,500"
2/2/2005	"490,500"	"69,000"
2/3/2005	"496,000"	"69,200"
2/4/2005	"495,500"	"70,200"
2/7/2005	"510,000"	"72,100"
2/11/2005	"506,000"	"71,400"
2/14/2005	"517,000"	"73,600"
2/15/2005	"519,000"	"74,300"
2/16/2005	"520,000"	"74,500"
2/17/2005	"517,000"	"75,300"
2/18/2005	"527,000"	"75,000"
2/21/2005	"528,000"	"80,300"
2/22/2005	"522,000"	"78,500"
2/23/2005	"511,000"	"75,100"
2/24/2005	"519,000"	"76,500"
2/25/2005	"522,000"	"77,800"
2/28/2005	"527,000"	"79,000"
3/2/2005	"517,000"	"77,000"
3/3/2005	"519,000"	"76,900"
3/4/2005	"510,000"	"75,300"
3/7/2005	"507,000"	"74,900"
3/8/2005	"502,000"	"72,000"
3/9/2005	"500,000"	"70,900"
3/10/2005	"499,500"	"70,500"
3/11/2005	"519,000"	"72,000"
3/14/2005	"510,000"	"70,800"
3/15/2005	"502,000"	"69,100"
3/16/2005	"503,000"	"68,200"
3/17/2005	"496,000"	"66,900"
3/18/2005	"495,000"	"67,000"
3/21/2005	"492,000"	"67,500"
3/22/2005	"496,000"	"67,400"
3/23/2005	"498,500"	"66,300"
3/24/2005	"503,000"	"66,400"
3/25/2005	"505,000"	"68,200"
3/28/2005	"510,000"	"68,500"
3/29/2005	"502,000"	"67,300"
3/30/2005	"498,000"	"67,900"
3/31/2005	"502,000"	"68,100"
4/1/2005	"512,000"	"69,300"
4/4/2005	"517,000"	"69,400"
4/6/2005	"518,000"	"69,400"
4/7/2005	"518,000"	"68,700"
4/8/2005	"522,000"	"70,800"
4/11/2005	"517,000"	"69,900"
4/12/2005	"520,000"	"69,500"
4/13/2005	"518,000"	"68,500"
4/14/2005	"502,000"	"67,700"
4/15/2005	"491,500"	"66,300"
4/18/2005	"476,000"	"65,100"
4/19/2005	"474,000"	"67,100"
4/20/2005	"470,000"	"68,200"
4/21/2005	"466,000"	"68,500"
4/22/2005	"467,000"	"68,800"
4/25/2005	"474,500"	"68,900"
4/26/2005	"471,000"	"68,200"
4/27/2005	"464,000"	"67,800"
4/28/2005	"460,000"	"67,000"
4/29/2005	"452,000"	"66,500"
5/2/2005	"455,500"	"66,600"
5/3/2005	"455,000"	"65,800"
5/4/2005	"464,500"	"66,500"
5/6/2005	"474,000"	"67,000"
5/9/2005	"475,000"	"67,400"
5/10/2005	"477,000"	"68,200"
5/11/2005	"472,000"	"68,200"
5/12/2005	"475,000"	"67,400"
5/13/2005	"481,500"	"67,800"
5/16/2005	"488,000"	"69,100"
5/17/2005	"489,500"	"69,000"
5/18/2005	"489,500"	"69,200"
5/19/2005	"498,500"	"71,500"
5/20/2005	"498,500"	"72,000"
5/23/2005	"498,000"	"71,900"
5/24/2005	"495,000"	"72,200"
5/25/2005	"484,500"	"71,000"
5/26/2005	"482,000"	"71,300"
5/27/2005	"490,000"	"72,700"
5/30/2005	"493,500"	"73,000"
5/31/2005	"489,000"	"73,200"
6/1/2005	"489,000"	"72,700"
6/2/2005	"487,500"	"72,100"
6/3/2005	"488,000"	"71,800"
6/7/2005	"480,500"	"71,300"
6/8/2005	"477,500"	"71,800"
6/9/2005	"480,000"	"71,500"
6/10/2005	"491,500"	"70,600"
6/13/2005	"498,000"	"70,000"
6/14/2005	"496,500"	"69,500"
6/15/2005	"500,000"	"69,900"
6/16/2005	"498,500"	"70,100"
6/17/2005	"493,500"	"69,300"
6/20/2005	"490,500"	"68,000"
6/21/2005	"488,000"	"66,900"
6/22/2005	"493,000"	"66,800"
6/23/2005	"498,000"	"67,100"
6/24/2005	"491,000"	"66,400"
6/27/2005	"488,500"	"66,200"
6/28/2005	"489,500"	"65,900"
6/29/2005	"490,000"	"65,600"
6/30/2005	"494,000"	"65,800"
7/1/2005	"501,000"	"66,700"
7/4/2005	"503,000"	"66,600"
7/5/2005	"502,000"	"66,500"
7/6/2005	"504,000"	"67,200"
7/7/2005	"516,000"	"67,900"
7/8/2005	"516,000"	"68,400"
7/11/2005	"533,000"	"68,500"
7/12/2005	"541,000"	"67,800"
7/13/2005	"547,000"	"67,700"
7/14/2005	"547,000"	"68,700"
7/15/2005	"542,000"	"68,500"
7/18/2005	"549,000"	"67,900"
7/19/2005	"561,000"	"66,800"
7/20/2005	"558,000"	"66,000"
7/21/2005	"563,000"	"65,900"
7/22/2005	"552,000"	"66,300"
7/25/2005	"555,000"	"66,000"
7/26/2005	"551,000"	"66,900"
7/27/2005	"551,000"	"67,300"
7/28/2005	"560,000"	"66,600"
7/29/2005	"565,000"	"66,600"
8/1/2005	"569,000"	"66,800"
8/2/2005	"568,000"	"66,500"
8/3/2005	"568,000"	"65,700"
8/4/2005	"566,000"	"65,100"
8/5/2005	"553,000"	"64,700"
8/8/2005	"551,000"	"64,400"
8/9/2005	"550,000"	"64,200"
8/10/2005	"555,000"	"64,600"
8/11/2005	"567,000"	"64,700"
8/12/2005	"578,000"	"65,100"
8/16/2005	"572,000"	"64,500"
8/17/2005	"572,000"	"64,000"
8/18/2005	"555,000"	"64,400"
8/19/2005	"553,000"	"63,900"
8/22/2005	"563,000"	"64,500"
8/23/2005	"562,000"	"63,300"
8/24/2005	"556,000"	"63,000"
8/25/2005	"552,000"	"62,800"
8/26/2005	"549,000"	"63,000"
8/29/2005	"540,000"	"62,700"
8/30/2005	"541,000"	"62,200"
8/31/2005	"544,000"	"62,300"
9/1/2005	"549,000"	"62,700"
9/2/2005	"554,000"	"62,400"
9/5/2005	"561,000"	"62,700"
9/6/2005	"569,000"	"62,800"
9/7/2005	"579,000"	"63,600"
9/8/2005	"587,000"	"63,600"
9/9/2005	"589,000"	"66,700"
9/12/2005	"589,000"	"68,900"
9/13/2005	"606,000"	"68,200"
9/14/2005	"613,000"	"68,300"
9/15/2005	"607,000"	"67,700"
9/16/2005	"593,000"	"66,800"
9/20/2005	"593,000"	"68,000"
9/21/2005	"601,000"	"69,000"
9/22/2005	"600,000"	"68,700"
9/23/2005	"585,000"	"67,000"
9/26/2005	"597,000"	"67,300"
9/27/2005	"593,000"	"66,800"
9/28/2005	"598,000"	"68,000"
9/29/2005	"590,000"	"68,600"
9/30/2005	"588,000"	"69,900"
10/4/2005	"602,000"	"71,300"
10/5/2005	"601,000"	"71,400"
10/6/2005	"586,000"	"70,500"
10/7/2005	"581,000"	"71,200"
